|    |   Accuracy |   Precision |   Recall |
|---:|-----------:|------------:|---------:|
|  0 |   1        |    1        | 1        |
|  1 |   1        |    0.994475 | 1        |
|  2 |   0.998667 |    0.998667 | 0.998667 |
|  3 |   0.988889 |    0.997758 | 0.988889 |
|  4 |   0.99697  |    0.998483 | 0.99697  |
|  5 |   0.995238 |    0.984301 | 0.995238 |
|  6 |   1        |    0.997783 | 1        |
|  7 |   1        |    0.993378 | 1        |
|  8 |   0.998611 |    0.995845 | 0.998611 |
|  9 |   1        |    1        | 1        |
| 10 |   1        |    1        | 1        |
| 11 |   0.998111 |    0.99973  | 0.998111 |
